Name,Error,VAScore,AssetsApk,StubComponents,StubProcesses,#Permissions,#Activities,#Components,#Processes,SpawnApk,SpawnProcesses,SameCertificates,StubIntent,#Packages,UnknownIntent,CombinedIntentAnalysis
NJC.wJCQ.PfzZ.apk,0,4,0,101,51,186,108,113,52,1,1,0,0,2,0,0
com.eigsio.proje.service.apk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.ekingcar.nana.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.elinkway.tvlive2.beta.apk,0,6,1,153,9,146,237,263,11,1,1,1,0,2,1,1
com.elkhattabayoub.gravityninja.apk,0,6,1,81,9,16,76,86,9,1,0,0,0,1,0,0
com.emoji.keyboard.touchpal.apk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.emumega.snesp.apk,0,6,1,101,51,10,107,112,52,1,1,1,0,2,0,0
com.Epacquire.apk,0,6,1,101,51,188,118,131,53,1,1,1,0,2,0,0
com.epic.sands.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.eposstudio.blockpuzzlejewel.apk,0,4,0,153,9,12,236,248,10,1,0,0,0,2,1,0
com.eposstudio.bridepreparationsalon.apk,0,4,0,153,9,8,236,248,10,1,1,0,0,2,1,1
com.eposstudio.fakechat.apk,0,4,0,153,9,8,236,248,10,1,1,0,0,2,1,1
com.eposstudio.girlbikiniwallpaperhd.apk,0,4,0,153,9,7,236,248,10,1,1,0,0,2,1,1
com.eposstudio.girlsgamespasalon.apk,0,4,0,153,9,7,236,248,10,1,0,0,0,2,1,0
com.ErnsteGames.RollUP.apk,0,6,1,101,51,188,120,134,53,1,1,1,0,1,0,0
com.esbook.esreader.apk,0,6,1,153,9,31,318,353,14,0,0,1,0,1,0,0
com.esbook.reader.apk,0,6,1,153,9,31,316,351,14,0,0,1,0,1,0,0
com.esduey.stargether.apk,0,6,1,81,9,16,83,100,9,0,0,1,0,1,0,0
com.eth.EndTimeHeadliness.apk,0,6,1,101,51,192,120,148,54,1,1,1,0,2,0,0
com.evy.linegame.apk,0,6,1,81,9,16,79,89,9,1,0,0,0,1,0,0
com.example.bendis.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.example.businesshall.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.example.manyopen.apk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.example.rosebush.testapp.apk,0,4,0,101,51,186,117,128,52,0,0,1,0,1,0,0
com.example.weipaike.apk,0,4,0,153,9,145,242,252,9,0,0,1,0,1,0,0
com.smonline.appbox.apk,0,4,0,101,51,186,112,117,52,0,0,1,0,1,0,0
com.sndrj.dianyoutt3.apk,0,4,0,153,9,59,282,293,9,0,0,1,0,1,0,0
com.Sniper.GamesCityWar.gameTOP80071mod.apk,0,6,1,81,9,13,83,94,9,1,0,0,0,1,0,0
com.socialmedia.towcont.dual.espace.account.apk,0,4,0,101,51,154,116,132,52,0,0,1,0,1,0,0
com.sohsbbasgssadasfdsdgabgemvujrx.bybzfcvdsgzgf.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.SomeGamesStudio.KingofSmiths.apk,0,6,1,81,9,15,78,91,9,0,0,1,0,1,0,0
com.sostation.game.wumai.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.SoulGame.CubicRage.apk,0,6,1,81,9,19,99,117,9,0,0,1,0,1,0,0
com.soulstones.lbzjqb.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.soulstones.mhyt.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.space.multiple.account.parallel.apk,0,4,0,101,51,181,118,124,52,0,0,1,0,1,0,0
com.sparke.virtuallocation.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.splitvision.Tank.apk,0,4,0,81,9,15,76,86,9,0,0,1,0,1,0,0
com.sportbobao666.ppls.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.sr.mzzjyd.apk,0,6,1,81,9,20,78,91,9,0,0,1,0,1,0,0
com.sshmobile.kingofshapes.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.ssnrgame.matingshow.apk,0,6,1,81,9,17,86,103,10,0,0,1,0,1,0,0
com.ssppl.shuishoupaopaolong.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.ssyl.cdjh.ydjd.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.star.game.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.starspeedgame.tueboracing.apk,0,6,1,81,9,15,91,104,9,0,0,1,0,1,0,0
com.stockholm.meow.apk,0,4,0,153,9,129,256,281,11,0,0,1,0,1,0,0
com.stone106.dex.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.zb.xapp.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.zczm.daka.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.zdanjian.zdanjian.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.zeddevapp.dualhikeclone.apk,0,4,0,101,51,181,117,123,52,0,0,1,0,1,0,0
com.zeddevapp.dualzalokonto.apk,0,4,0,101,51,181,120,130,52,0,0,1,0,1,0,0
com.zeddevapp.multikakoachat.apk,0,4,0,101,51,181,117,123,52,0,0,1,0,1,0,0
com.zengame.djddz.mi.apk,0,4,0,153,9,28,249,270,13,0,1,1,0,1,0,0
com.zengame.jiasu.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.zengame.ttabh.nearme.gamecenter.apk,0,4,0,81,9,23,102,114,11,0,0,1,0,1,0,0
