APP SHA,Install,Native Run,Virtualized Run
655AEF8EAF350C40EBA4902D1BA986D41FCF8AC1B7F86C5AD73F4B7903CCCD72,installed,working,working
907C7D1F0430AF1134BC117748021F0665364545E4F6B57CC6587F7F29D69426,installed,working,working
EAD692824B4C69940EE9C83D9CC5F309B0256A2C7EEEA7EAC8A01009AE51C5F4,installed,error,error
2A4ACC32AF813E88020538412E0A3E79AF0DBDB482E4C4393196D66044A766F3,installed,working,working
C78C1AF195EEC457E3D7A6A69D98E2D2ACB5CE48B283D25D8F64A88FA76B2659,installed,working,working
D8E3F76A62B11BDF39DE872B4AC42996597185659C5397F58AC77C710B33D44A,installed,working,working
1B23667216BEA662785FD2B0B84FAD6480FED455D18CBEA2EE37A5274739EAA2,installed,working,working
018DD56ED351922542FAB031A9AFF5D69D2DE0F62BD873C38D8AA117EBBE7346,installed,error,error
F34AB4E0AE0946301759A76FB7EEA984FC599183CD82D026B116C385BDD88490,installed,error,error
C7C31A58A4002B41F5AB84047B903663C516421E4BDFE7723A8507E34C0CFA0F,installed,working,working
55B5430B8E240BBE2267D44724783B3353FD47F867792BE049B40EBFC650A2FB,installed,working,working
DA6359B3DF35E449443879C29C45632FA678D0DCE30C9433170ABBB891F1C07A,installed,working,working
6A2DD40C724A088030EE231C4C3A5AA7B87341CA776565D8DD3BF213F0292682,installed,working,working
9B7A1C49A7435F0E7BFCEFE1019396EBD0D59C4CB6379D0582136543A3186FF1,installed,error,error
609725D7855D805A4A3D68A9F861E12FE43A8B93AD7DD2671F4CCE4B490A256A,installed,working,working
33F68AC62784BFCCC6C3D93DAAA5C15517D2036D478AED1198289F82A31211C9,installed,working,working
5D17EDBD3E881A47C5F4C791C176192EE38B40C29B999F3E87F3C3FD70850EC6,installed,working,working
00CD7012882F64ACA6720212E85E9FAA6E77E7712BF472E8E829156B5D655AAE,installed,error,error
74AB6EACE54DCF37FC8A4A8347C34AD82600FFE39475D34B7BADEFAF5BD406F0,installed,error,error
85424EEC368020122CE99C4D17D7684EB2F32473D1ED9409429D0696ED8005B4,installed,working,working
AB096F1C111ACED56C370CE29623320223DCFC5317EB8EC0EE246B0082471BAB,installed,working,working
E4346462B1229DC44573D1C5D53E020718B81FB282C3BC069EB27ABB7CE9AE4A,installed,working,working
7A65F6828500D1C4E12D1C687E6028A2E9D6E9BE962DA0A07067DB9EAA78B3D4,installed,error,error
CF655B3C71EFDFFD000193D623B3F2F7CE8724FC937BCFC774EE003B424EE73A,installed,working,working
8AD9CC2B5605AE5F48EE185526B67C99C0C4472567FF47DC7923E7D1D5A487FB,installed,error,error
51AC1D1D7C0F4B48A31F85B5810B6E788DEF4440E49E675C55A0E4E3471C4527,installed,working,working
FE315363ADB12DF9B137EBA3E5AC023F3506C8BC89C570F48D97BCB94A89BA4D,installed,error,error
98082486061EA6C5576E21934145B647B0FD4B0DAE6A94BEBF0ECC354BD24489,installed,working,working
8B30BC782EC4AB9457E562F37F7268973834017D7723E7ADE8E4C70049393789,installed,error,error
152CE41EABF8652C8AC18A8B23962F90D638CC8F9174C5313F663F56A6BB4BE4,installed,error,error
5BF856531A990611561DE4A3886028514EC401B71315C99475778B86430616D4,installed,error,error
FF6F6E77BDFDB6972E11EB747B06AFAAC7C51C6795C2003E26AD1D7178BB2612,installed,error,error
46D940D799F807E59BDD237928019DFC99B72AD4F21ABEC6DFA286C814D2B3C2,installed,error,error
72404D03310694398DE352219FD68DDF1AC778AC7CB949867B659452BCA12C55,installed,error,error
8A12593D25070F922403A8D5D22879DDED161B7C730D3DA8B1A938D147EE74BD,installed,error,error
F2989458601543107466902A53DD37C1854CA6C7E424200701A9B2BB4E7A6C41,installed,working,working
5CD667C5CF3C682C88B11A13467D1212CEFB5C899C39EA7CA46319D1859183E3,installed,working,working
.DS_Store,installed,error,error
9C57FCEEB3E46ACE7D4C7B0923A519C355919E579FBD1D82AF7F83A37A01BAF8,installed,working,working
1EA7B9DFC84B562C362D53F60D1A7CA4EE7A0DE64FCDE45D3ED2B0DB73565539,installed,working,working
B8846C83DA0FD14680A5B2B3D92152F393ED0BA42C2812757CCC8AEA9775F602,installed,working,working
D2657DCA176805CC90C5F4E0824928F7691FC400866390E1CB1401AA6568F483,installed,working,working
C8A8862B693949015D26A47FD2CBA69E78BD834AA1186E251C7CCBC2330896FF,installed,working,working
579D84331CD01D5C785C282BBE4AB69F70EBF61E5DEA6E8F50327FB8E7B89ED6,installed,error,error
BD6D8D066BD252EFCD7E5E1E313D3E19BC483EC4F51FEE385DCBBA1E74617E45,installed,working,working
B97D0ECA6DBCB9FD6D956F4300E83DCFAAC0BD15938FA08053D1F91088962EC3,installed,working,working
F8D062A528B23EEA79BDD36A47C54FFA808660552D0021E79146018B7D54032A,installed,working,working
C4CCAAA91AB6C4518F54725C126868E6B7C031B2C093AF54D1857494F891E5BB,installed,working,working
931CFC8D2601BC396B1FBC92C797A5025C494DB526AD45B0C05A58A98F6B4B1F,installed,error,error
04B345326B3E273FD0C559A0D18B87B792369F833E3CA1D2B732B4EABFE88344,installed,main activity error,error
D732C5507B51E7E7BB115BD77BED981AD4DA2F6FEC44ED78D0D42F08199FE26A,installed,working,working
94511CD791120C0D0E3842DEB96D4AB4BC1D0F730F498ACAE0E3231E9B7D9CD5,installed,working,working
